#{"t_start": 1780882579.664715, "env_id": "None"}
r,l,t,success,completed_targets,collision_count,remaining_battery,done_reason
-14.225,35,2.75673,False,0,3,0.0,battery_out
-10.525,35,2.789995,False,0,0,0.0,battery_out
-16.125,35,2.818306,False,0,6,0.0,battery_out
-12.025,35,2.846359,False,0,1,0.0,battery_out
-13.415,41,2.888724,False,0,2,0.0,battery_out
-14.025,35,2.923591,False,0,4,0.0,battery_out
-1.625,35,2.951405,False,1,2,0.0,battery_out
-2.485,35,2.9844,False,1,2,0.0,battery_out
-6.745,35,3.02034,False,1,6,0.0,battery_out
-16.055,37,3.051221,False,0,5,0.0,battery_out
-3.185,35,3.082943,False,1,3,0.0,battery_out
8.635,35,3.115412,False,2,2,0.0,battery_out
-15.325,35,3.143276,False,0,4,0.0,battery_out
-8.345,35,3.176922,False,1,7,0.0,battery_out
-18.825,35,3.203819,False,0,8,0.0,battery_out
-17.425,35,3.234417,False,0,7,0.0,battery_out
-22.625,35,3.265207,False,0,11,0.0,battery_out
-14.825,35,3.292881,False,0,4,0.0,battery_out
-14.27,38,3.321767,False,0,4,0.0,battery_out
-21.83,42,3.35306,False,0,12,0.0,battery_out
-14.625,35,3.379586,False,0,4,0.0,battery_out
-12.025,35,3.406949,False,0,2,0.0,battery_out
-13.225,35,3.433935,False,0,1,0.0,battery_out
-11.625,35,3.462116,False,0,0,0.0,battery_out
-1.925,35,3.491488,False,1,1,0.0,battery_out
-16.425,35,3.525019,False,0,6,0.0,battery_out
-12.925,35,3.554496,False,0,2,0.0,battery_out
-14.025,35,3.584895,False,0,4,0.0,battery_out
-18.825,35,5.318598,False,0,8,0.0,battery_out
-14.625,35,5.368945,False,0,2,0.0,battery_out
-0.425,35,5.421392,False,1,0,0.0,battery_out
-13.57,38,5.455199,False,0,3,0.0,battery_out
-0.985,35,5.485763,False,1,1,0.0,battery_out
0.355,35,5.516349,False,1,0,0.0,battery_out
-13.325,35,5.542153,False,0,2,0.0,battery_out
