#{"t_start": 1780884910.9617333, "env_id": "None"}
r,l,t,success,completed_targets,collision_count,remaining_battery,done_reason
-1.64,53,1.732078,False,3,21,0.0,battery_out
-12.02,35,1.752716,False,0,1,0.0,battery_out
-17.04,38,1.775534,False,2,24,0.0,battery_out
21.68,35,1.794353,False,3,1,0.0,battery_out
-5.5,48,1.829993,False,3,23,0.0,battery_out
32.92,38,1.859288,False,4,0,0.0,battery_out
-29.04,42,1.879855,False,1,26,0.0,battery_out
-36.24,35,1.898393,False,1,30,0.0,battery_out
-10.04,35,1.918677,False,0,0,0.0,battery_out
-28.1,35,1.935226,False,0,15,0.0,battery_out
21.08,35,1.95977,False,3,1,0.0,battery_out
-46.88,35,1.97762,False,0,30,0.0,battery_out
-10.46,35,1.995829,False,0,0,0.0,battery_out
-10.4,35,2.012671,False,0,0,0.0,battery_out
61.66,19,2.025023,True,4,1,16.0,success
50.64,37,2.043548,True,3,4,2.0,success
-11.86,39,2.062614,False,0,1,0.0,battery_out
-13.22,46,2.085698,False,1,11,0.0,battery_out
-52.42,39,2.104277,False,0,35,0.0,battery_out
-14.62,46,2.133469,False,2,21,0.0,battery_out
-13.16,41,2.156764,False,0,2,0.0,battery_out
-83.4,61,2.201528,False,0,60,0.0,battery_out
-41.32,42,2.218782,False,0,26,0.0,battery_out
-39.84,65,2.249572,False,2,43,0.0,battery_out
-31.76,35,2.265282,False,0,18,0.0,battery_out
0.18,44,3.093689,False,2,11,0.0,battery_out
-12.02,47,3.140535,False,2,18,0.0,battery_out
-4.8,35,3.169942,False,2,14,0.0,battery_out
-45.56,44,3.224138,False,0,29,0.0,battery_out
-50.4,54,3.282905,False,1,42,0.0,battery_out
15.9,42,3.3277,False,4,14,0.0,battery_out
-24.38,43,3.362168,False,2,29,0.0,battery_out
32.78,35,3.398508,False,4,1,0.0,battery_out
42.14,28,3.42803,True,2,1,7.0,success
-42.8,43,3.462581,False,1,36,0.0,battery_out
11.88,35,3.487183,False,2,0,0.0,battery_out
-16.1,35,3.515532,False,0,5,0.0,battery_out
17.22,36,3.541761,False,3,4,0.0,battery_out
-20.68,37,3.570829,False,2,26,0.0,battery_out
-38.56,35,3.592614,False,1,32,0.0,battery_out
-0.28,39,3.613693,False,2,9,0.0,battery_out
43.84,24,3.627554,True,2,0,11.0,success
-5.86,35,3.646303,False,1,5,0.0,battery_out
61.42,37,3.671504,True,4,3,6.0,success
6.06,47,3.701324,False,2,5,0.0,battery_out
-0.4,41,3.728748,False,1,0,0.0,battery_out
-10.72,38,3.746654,False,2,19,0.0,battery_out
-39.48,51,3.774854,False,1,34,0.0,battery_out
-2.82,57,3.81012,False,1,2,0.0,battery_out
-11.0,35,3.827474,False,0,0,0.0,battery_out
-38.96,35,3.845179,False,0,24,0.0,battery_out
64.32,32,4.692822,True,4,0,3.0,success
44.8,30,4.718735,True,2,0,6.0,success
11.16,35,4.758112,False,2,0,0.0,battery_out
9.88,37,4.819336,False,3,10,0.0,battery_out
0.2,49,4.861706,False,2,9,0.0,battery_out
28.84,40,4.90251,False,4,2,0.0,battery_out
-12.08,35,4.930984,False,0,2,0.0,battery_out
-4.56,50,4.977807,False,2,13,0.0,battery_out
-43.08,48,5.012167,False,1,36,0.0,battery_out
6.58,35,5.037543,False,2,6,0.0,battery_out
-55.0,53,5.074507,False,1,46,0.0,battery_out
-11.78,35,5.105715,False,0,1,0.0,battery_out
-38.0,38,5.129951,False,0,24,0.0,battery_out
-40.8,54,5.171445,False,1,34,0.0,battery_out
-1.96,35,5.190823,False,1,2,0.0,battery_out
20.6,59,5.229548,False,4,11,0.0,battery_out
6.36,38,5.251043,False,2,4,0.0,battery_out
-32.96,63,5.296742,False,2,37,0.0,battery_out
-8.66,41,5.323328,False,3,25,0.0,battery_out
-35.22,37,5.343296,False,0,21,0.0,battery_out
5.78,50,5.369905,False,2,4,0.0,battery_out
-68.52,55,5.398695,False,0,48,0.0,battery_out
25.04,45,5.423312,False,3,0,0.0,battery_out
-6.54,37,5.442381,False,2,16,0.0,battery_out
3.72,35,6.217818,False,2,8,0.0,battery_out
61.14,44,6.268462,True,4,4,2.0,success
-37.06,67,6.342246,False,1,30,0.0,battery_out
-33.14,35,6.382625,False,0,19,0.0,battery_out
9.72,41,6.414842,False,2,4,0.0,battery_out
-12.58,36,6.442848,False,0,3,0.0,battery_out
10.24,52,6.49137,False,3,10,0.0,battery_out
-52.24,42,6.527999,False,0,35,0.0,battery_out
-33.46,41,6.554974,False,1,29,0.0,battery_out
22.78,52,6.587561,False,3,2,0.0,battery_out
