#{"t_start": 1780881969.2482378, "env_id": "None"}
r,l,t,success,completed_targets,collision_count,remaining_battery,done_reason
26.34,66,28.898206,True,1,3,34.0,success
29.56,44,28.936701,True,1,0,56.0,success
28.55,45,28.970375,True,1,1,55.0,success
28.61,39,29.000335,True,1,1,61.0,success
26.39,57,29.044655,True,1,3,43.0,success
28.59,41,29.076566,True,1,1,59.0,success
-9.82,80,29.135677,False,1,14,20.0,timeout
24.42,58,29.183202,True,1,5,42.0,success
28.56,42,30.340858,True,1,1,58.0,success
29.66,34,30.401848,True,1,0,66.0,success
27.55,39,30.461625,True,1,2,61.0,success
27.57,43,30.532573,True,1,2,57.0,success
29.57,43,30.595525,True,1,0,57.0,success
21.47,53,30.670196,True,1,8,47.0,success
18.39,61,30.720314,True,1,11,39.0,success
28.49,51,30.773033,True,1,1,49.0,success
28.68,30,30.79768,True,1,1,70.0,success
28.63,37,30.827324,True,1,1,63.0,success
24.6,40,30.858204,True,1,5,60.0,success
26.38,62,30.902679,True,1,3,38.0,success
24.42,58,30.944912,True,1,5,42.0,success
26.45,55,30.988843,True,1,3,45.0,success
28.53,47,31.023396,True,1,1,53.0,success
29.56,44,31.05296,True,1,0,56.0,success
26.56,44,31.085279,True,1,3,56.0,success
23.52,48,31.577011,True,1,6,52.0,success
27.68,32,31.59529,True,1,2,68.0,success
28.43,55,31.627445,True,1,1,45.0,success
25.48,52,31.655616,True,1,4,48.0,success
25.58,42,31.678289,True,1,4,58.0,success
26.61,39,32.498607,True,1,3,61.0,success
28.58,42,32.533004,True,1,1,58.0,success
27.59,41,32.565894,True,1,2,59.0,success
25.52,46,32.605631,True,1,4,54.0,success
26.66,34,32.634504,True,1,3,66.0,success
29.67,33,32.662266,True,1,0,67.0,success
29.63,37,32.690914,True,1,0,63.0,success
27.69,31,32.714923,True,1,2,69.0,success
29.69,31,32.738942,True,1,0,69.0,success
27.5,50,32.774204,True,1,2,50.0,success
25.61,39,32.808885,True,1,4,61.0,success
28.56,42,32.841589,True,1,1,58.0,success
28.6,40,32.869943,True,1,1,60.0,success
28.54,46,32.903867,True,1,1,54.0,success
29.66,34,32.928906,True,1,0,66.0,success
28.7,30,32.951076,True,1,1,70.0,success
28.67,33,32.975638,True,1,1,67.0,success
29.67,33,32.997926,True,1,0,67.0,success
27.56,44,33.028494,True,1,2,56.0,success
27.53,47,33.063287,True,1,2,53.0,success
28.69,31,33.082359,True,1,1,69.0,success
29.64,34,33.102921,True,1,0,66.0,success
28.23,77,33.149224,True,1,1,23.0,success
27.72,28,33.16548,True,1,2,72.0,success
24.4,58,33.198488,True,1,5,42.0,success
24.55,45,34.305824,True,1,5,55.0,success
25.53,47,34.390297,True,1,4,53.0,success
28.63,37,34.444279,True,1,1,63.0,success
29.68,32,34.510595,True,1,0,68.0,success
29.68,32,34.574351,True,1,0,68.0,success
28.61,39,34.653772,True,1,1,61.0,success
28.71,29,34.698017,True,1,1,71.0,success
28.54,44,34.784246,True,1,1,56.0,success
23.32,66,34.932849,True,1,6,34.0,success
29.66,34,34.981934,True,1,0,66.0,success
29.7,30,35.041972,True,1,0,70.0,success
28.59,41,35.125953,True,1,1,59.0,success
27.51,49,35.212649,True,1,2,51.0,success
29.71,29,35.243237,True,1,0,71.0,success
29.7,30,35.273298,True,1,0,70.0,success
28.55,45,35.32439,True,1,1,55.0,success
29.69,31,35.357397,True,1,0,69.0,success
28.64,36,35.389055,True,1,1,64.0,success
29.73,27,35.424032,True,1,0,73.0,success
29.57,43,35.46086,True,1,0,57.0,success
29.7,30,35.484121,True,1,0,70.0,success
28.66,34,35.513539,True,1,1,66.0,success
29.7,30,35.53828,True,1,0,70.0,success
28.66,34,35.573442,True,1,1,66.0,success
29.67,33,35.597705,True,1,0,67.0,success
22.47,53,35.646818,True,1,7,47.0,success
28.59,41,35.677874,True,1,1,59.0,success
28.64,36,35.706563,True,1,1,64.0,success
29.74,26,37.149569,True,1,0,74.0,success
28.75,25,37.178685,True,1,1,75.0,success
27.66,34,37.21463,True,1,2,66.0,success
29.68,32,37.256467,True,1,0,68.0,success
29.72,28,37.29294,True,1,0,72.0,success
28.71,29,37.332805,True,1,1,71.0,success
25.61,39,37.386758,True,1,4,61.0,success
29.74,26,37.429675,True,1,0,74.0,success
29.72,28,37.461608,True,1,0,72.0,success
26.69,31,37.501916,True,1,3,69.0,success
29.68,32,37.535548,True,1,0,68.0,success
29.68,32,37.565148,True,1,0,68.0,success
26.71,29,37.591092,True,1,3,71.0,success
29.71,29,37.615879,True,1,0,71.0,success
29.62,36,37.644713,True,1,0,64.0,success
28.66,32,37.671924,True,1,1,68.0,success
29.75,25,37.692547,True,1,0,75.0,success
24.65,35,37.71902,True,1,5,65.0,success
24.69,31,37.742225,True,1,5,69.0,success
28.7,30,37.764638,True,1,1,70.0,success
29.66,34,37.789268,True,1,0,66.0,success
29.7,28,37.808843,True,1,0,72.0,success
28.6,38,37.835199,True,1,1,62.0,success
24.66,34,37.857626,True,1,5,66.0,success
29.73,25,37.87357,True,1,0,75.0,success
29.62,38,37.898138,True,1,0,62.0,success
29.74,26,37.914147,True,1,0,74.0,success
23.62,38,37.937008,True,1,6,62.0,success
26.67,33,37.957422,True,1,3,67.0,success
28.7,30,37.977066,True,1,1,70.0,success
29.69,31,37.995358,True,1,0,69.0,success
28.72,28,38.013146,True,1,1,72.0,success
29.7,30,38.031137,True,1,0,70.0,success
29.75,25,38.957527,True,1,0,75.0,success
26.58,42,39.000039,True,1,3,58.0,success
29.68,32,39.03643,True,1,0,68.0,success
29.71,29,39.096737,True,1,0,71.0,success
29.67,33,39.156743,True,1,0,67.0,success
29.72,28,39.179466,True,1,0,72.0,success
29.75,25,39.200822,True,1,0,75.0,success
29.72,28,39.251656,True,1,0,72.0,success
28.72,28,39.280155,True,1,1,72.0,success
28.75,25,39.312156,True,1,1,75.0,success
27.61,39,39.358147,True,1,2,61.0,success
29.64,36,39.39138,True,1,0,64.0,success
27.67,33,39.438298,True,1,2,67.0,success
29.74,26,39.479014,True,1,0,74.0,success
29.74,26,39.506034,True,1,0,74.0,success
29.71,29,39.532316,True,1,0,71.0,success
29.7,30,39.561736,True,1,0,70.0,success
29.75,25,39.581204,True,1,0,75.0,success
28.69,31,39.610565,True,1,1,69.0,success
29.73,27,39.631768,True,1,0,73.0,success
29.71,29,39.655213,True,1,0,71.0,success
28.73,27,39.677272,True,1,1,73.0,success
29.76,24,39.69831,True,1,0,76.0,success
29.7,30,39.720467,True,1,0,70.0,success
29.72,28,39.743415,True,1,0,72.0,success
29.71,29,39.768374,True,1,0,71.0,success
29.61,39,39.799299,True,1,0,61.0,success
29.74,26,39.819088,True,1,0,74.0,success
27.66,34,39.844634,True,1,2,66.0,success
29.76,24,39.865495,True,1,0,76.0,success
29.68,32,39.895136,True,1,0,68.0,success
28.7,30,39.921783,True,1,1,70.0,success
25.62,38,39.954338,True,1,4,62.0,success
29.76,24,39.974283,True,1,0,76.0,success
28.71,29,41.556947,True,1,1,71.0,success
28.69,31,41.59484,True,1,1,69.0,success
29.76,24,41.628458,True,1,0,76.0,success
